EEK;Eesti Pank;http://statistika.eestipank.ee/Reports?type=curd&format=xml&lng=est&print=off&date1=
LTL;Leedu Pank;http://webservices.lb.lt/ExchangeRates/ExchangeRates.asmx/getExchangeRatesByDate?Date=
